id,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1159,002089,新海宜,0.2,-23.08,,7.55,,13784.34,2.76,10派0.25,04-23
1160,601888,中国国旅,1.54,2.42,,14.15,,150589.49,2.42,,04-23
1161,600006,东风汽车,0.17,144.95,,5.51,,34437.99,144.96,10派0.52,04-23
1162,603003,龙宇燃油,-0.79,-2269.95,,-22.66,,-16042.14,-2269.29,,04-23
1163,002201,九鼎新材,0.07,40.0,,2.59,,1601.96,51.78,10派0.12,04-23
1164,600160,巨化股份,0.09,0.0,,2.24,,16177.79,-0.45,10派1,04-23
1165,600975,新五丰,0.13,-161.9,,4.21,,3696.27,-175.49,10派0.5转10,04-23
1166,000955,欣龙控股,-0.15,-1804.55,,-11.76,,-7685.81,-1677.05,,04-23
1167,300433,蓝思科技,2.35,21.13,,16.6,,154275.42,31.09,,04-23
1168,000632,三木集团,0.03,0.38,,0.99,,1216.21,0.67,,04-23
1169,000663,永安林业,0.2,-300.0,,6.88,,4488.58,-317.2,,04-23
1170,002078,太阳纸业,0.27,35.0,,10.34,,66665.54,42.2,10派0.5,04-23
1171,603800,道森股份,0.18,-74.36,,5.79,,2760.86,-74.36,,04-23
1172,002094,青岛金王,0.28,86.67,,13.34,,9057.36,84.64,,04-23
1173,000751,锌业股份,0.06,0.0,,4.58,,9076.41,3.04,,04-23
1174,002271,东方雨虹,0.89,-44.03,,19.61,,72971.52,26.57,10派1,04-23
1175,300374,恒通科技,0.23,-72.94,,6.47,,4348.29,-30.23,,04-23
1176,002308,威创股份,0.14,7.69,,5.63,,11947.15,13.58,10派0.15,04-23
1177,600490,鹏欣资源,0.01,-80.35,,1.2,,1962.04,-73.95,,04-23
1178,000803,*ST金宇,-0.26,-986.05,,-24.76,,-3327.79,-985.21,,04-23
1179,600509,天富能源,0.35,-7.89,,6.95,,31246.88,-10.01,10派2,04-23
1180,300308,中际装备,0.03,-25.0,,1.02,,559.4,-31.49,,04-23
1181,000967,盈峰环境,0.32,45.45,,5.79,,11210.15,85.24,10派0.4转5,04-23
1182,601225,陕西煤业,-0.3,-400.0,,-10.22,,-298854.16,-414.09,,04-23
